anchor_date,acq_datetime,tile_ids,tiles_count,coverage_frac,coverage_area
2023-04-09,2023-04-13 09:20:29.024000+00:00,S2B_MSIL2A_20230413T092029_N0510_R093_T35TKE_20240829T164005|S2B_MSIL2A_20230413T092029_N0510_R093_T34TGL_20240829T164005|S2B_MSIL2A_20230413T092029_N0510_R093_T34TFL_20240829T164005|S2B_MSIL2A_20230413T092029_N0510_R093_T34TFK_20240829T164005,4,1.0000000000000016,5739455232.610076
2023-06-13,2023-06-22 09:15:59.024000+00:00,S2B_MSIL2A_20230622T091559_N0510_R093_T34TGL_20240911T015737|S2B_MSIL2A_20230622T091559_N0510_R093_T34TFL_20240911T015737|S2B_MSIL2A_20230622T091559_N0510_R093_T34TFK_20240911T015737,3,0.9985290205243998,5731012611.761772
2023-08-17,2023-08-16 09:20:31.024000+00:00,S2A_MSIL2A_20230816T092031_N0510_R093_T35TKF_20240907T164626|S2A_MSIL2A_20230816T092031_N0510_R093_T34TFL_20240907T164626|S2A_MSIL2A_20230816T092031_N0510_R093_T34TFK_20240907T164626,3,1.0000000000000022,5739455232.61008
2023-10-22,2023-10-15 09:20:31.024000+00:00,S2A_MSIL2A_20231015T092031_N0510_R093_T35TKF_20241103T140930|S2A_MSIL2A_20231015T092031_N0510_R093_T34TFL_20241103T140930|S2A_MSIL2A_20231015T092031_N0510_R093_T34TFK_20241103T140930,3,1.0000000000000022,5739455232.61008
2023-12-26,2023-12-19 09:23:19.024000+00:00,S2B_MSIL2A_20231219T092319_N0510_R093_T35TKF_20231219T110223|S2B_MSIL2A_20231219T092319_N0510_R093_T34TFL_20231219T110223|S2B_MSIL2A_20231219T092319_N0510_R093_T34TFK_20231219T110223,3,1.0000000000000022,5739455232.61008
2024-03-01,2024-02-22 09:20:31.024000+00:00,S2A_MSIL2A_20240222T092031_N0510_R093_T34TGL_20240222T124653|S2A_MSIL2A_20240222T092031_N0510_R093_T34TFL_20240222T124653|S2A_MSIL2A_20240222T092031_N0510_R093_T34TFK_20240222T124653,3,0.9985286467255892,5731010466.360232
2024-05-05,2024-05-07 09:15:49.024000+00:00,S2B_MSIL2A_20240507T091549_N0510_R093_T35TKE_20240507T105905|S2B_MSIL2A_20240507T091549_N0510_R093_T34TGL_20240507T105905|S2B_MSIL2A_20240507T091549_N0510_R093_T34TFL_20240507T105905|S2B_MSIL2A_20240507T091549_N0510_R093_T34TFK_20240507T105905,4,1.000000000000001,5739455232.610074
2024-07-09,2024-07-01 09:20:31.024000+00:00,S2A_MSIL2A_20240701T092031_N0510_R093_T34TGL_20240701T121649|S2A_MSIL2A_20240701T092031_N0510_R093_T34TFL_20240701T121649|S2A_MSIL2A_20240701T092031_N0510_R093_T34TFK_20240701T121649,3,0.9985291196186433,5731013180.508746
2024-09-13,2024-09-04 09:15:59.024000+00:00,S2B_MSIL2A_20240904T091559_N0511_R093_T35TKF_20240904T124722|S2B_MSIL2A_20240904T091559_N0511_R093_T34TFL_20240904T124722|S2B_MSIL2A_20240904T091559_N0511_R093_T34TFK_20240904T124722,3,1.0000000000000022,5739455232.61008
2024-11-17,2024-11-08 09:22:01.024000+00:00,S2A_MSIL2A_20241108T092201_N0511_R093_T35TKF_20241108T123352|S2A_MSIL2A_20241108T092201_N0511_R093_T34TFL_20241108T123352|S2A_MSIL2A_20241108T092201_N0511_R093_T34TFK_20241108T123352,3,1.0000000000000022,5739455232.61008
2025-01-21,2025-01-17 09:23:21.024000+00:00,S2A_MSIL2A_20250117T092321_N0511_R093_T35TKF_20250117T130404|S2A_MSIL2A_20250117T092321_N0511_R093_T34TFL_20250117T130404|S2A_MSIL2A_20250117T092321_N0511_R093_T34TFK_20250117T130404,3,1.0000000000000022,5739455232.61008
2025-03-28,2025-03-20 09:22:31.024000+00:00,S2A_MSIL2A_20250320T092231_N0511_R093_T35TKF_20250320T124113|S2A_MSIL2A_20250320T092231_N0511_R093_T34TFL_20250320T124113|S2A_MSIL2A_20250320T092231_N0511_R093_T34TFK_20250320T124113,3,1.0000000000000022,5739455232.61008
2025-06-01,2025-06-08 09:20:41.024000+00:00,S2A_MSIL2A_20250608T092041_N0511_R093_T35TKE_20250608T121913|S2A_MSIL2A_20250608T092041_N0511_R093_T34TGL_20250608T121913|S2A_MSIL2A_20250608T092041_N0511_R093_T34TFL_20250608T121913|S2A_MSIL2A_20250608T092041_N0511_R093_T34TFK_20250608T121913,4,1.0000000000000013,5739455232.610075
2025-08-06,2025-08-10 09:20:29.024000+00:00,S2B_MSIL2A_20250810T092029_N0511_R093_T35TKF_20250810T114025|S2B_MSIL2A_20250810T092029_N0511_R093_T34TFL_20250810T114025|S2B_MSIL2A_20250810T092029_N0511_R093_T34TFK_20250810T114025,3,1.0000000000000022,5739455232.61008
2025-10-10,2025-10-04 09:20:41.025000+00:00,S2C_MSIL2A_20251004T092041_N0511_R093_T35TKE_20251004T130417|S2C_MSIL2A_20251004T092041_N0511_R093_T34TGL_20251004T130417|S2C_MSIL2A_20251004T092041_N0511_R093_T34TFL_20251004T130417|S2C_MSIL2A_20251004T092041_N0511_R093_T34TFK_20251004T130417,4,1.000000000000001,5739455232.610074
2025-12-14,2025-12-13 09:24:11.025000+00:00,S2C_MSIL2A_20251213T092411_N0511_R093_T34TGL_20251213T130111|S2C_MSIL2A_20251213T092411_N0511_R093_T34TFL_20251213T130111|S2C_MSIL2A_20251213T092411_N0511_R093_T34TFK_20251213T130111,3,0.9985302878477791,5731019885.507572
2026-02-18,2026-02-16 09:29:21.024000+00:00,S2A_MSIL2A_20260216T092921_N0512_R093_T34TGL_20260216T120117|S2A_MSIL2A_20260216T092921_N0512_R093_T34TFL_20260216T120117|S2A_MSIL2A_20260216T092921_N0512_R093_T34TFK_20260216T120117,3,0.9985287315825079,5731010953.392718
